Date,Transection Description, Amount ,Category
3/7/23,DAISO,$2.16 ,Shopping
3/7/23,ZARA,$29.80 ,Shopping
3/7/23,BUS/MRT,$17.50 ,Transport
5/7/23,COLD STORAGE,$8.80 ,Groceries
5/7/23,FAIRPRICE FINEST,$9.33 ,Groceries
6/7/23,SPOTIFY,$13.11 ,Entertainment
6/7/23,PULL&BEAR,$89.70 ,Shopping
7/7/23,SEPHORA,$102.00 ,Shopping
7/7/23,TORI Q,$8.40 ,Food
7/7/23,BUS/MRT,$12.71 ,Transport
7/7/23,TICKETMASTER,$99.00 ,Entertainment
8/7/23,FAIRPRICE XTRA,$0.35 ,Groceries
12/7/23,BUS/MRT,$5.74 ,Transport
16/7/23,SHENGSIONG,$27.14 ,Groceries
16/7/23,DECATHLON,$5.40 ,Shopping
18/7/23,GIANT,$0.35 ,Groceries
18/7/23,BUS/MRT,$15.33 ,Transport
21/7/23,KOREAN TOFU HOUSE,$21.05 ,Food
22/7/23,GONG YUAN MALA,$15.40 ,Food
22/7/23,FAIRPRICE XTRA,$0.35 ,Food
22/7/23,BUS/MRT,$16.59 ,Transport
23/7/23,Subway,$7.30 ,Food
23/7/23,7-ELEVEN,$2.30 ,Food
27/7/23,BUS/MRT,$12.88 ,Transport
29/7/23,SCOOP WHOLEFOODS,$3.50 ,Groceries
31/7/23,KSISTERS,$61.00 ,Shopping
